ID,Class,Co (ppm),Ni (ppm),Cu (ppm),Zn (ppm),As (ppm),Mo (ppm),Ag (ppm),Sb (ppm),Te (ppm),Au (ppm),Tl (ppm),Pb (ppm),d34S (‰),Deposit style,Period,Description,Reference
0,Sedimentary,156.0176089,329.4860134,273.9414442,34.33388048,258.8083328,9.399489041,5.382540675,159.1200066,0.993235936,0.162622308,1.887490215,458.8561541,38.362,Secondary py nodules,Cambrian,Black shale nodules,Gregory et al. 2019
1,Sedimentary,100.7877705,280.5526352,186.8345133,0,217.3269277,6.38869372,5.817663238,108.3352489,1.18988734,1.167036859,2.424510122,351.430496,38.169,Secondary py nodules,Cambrian,Black shale nodules,Gregory et al. 2019
2,Sedimentary,143.5686875,243.2617843,114.6423013,91.12800711,154.8825119,5.720907738,4.257207901,112.3078661,1.918968906,0.202163963,1.757331416,805.2612462,38.206,Secondary py nodules,Cambrian,Black shale nodules,Gregory et al. 2019
3,Sedimentary,128.1953187,432.4649849,216.2725919,0,318.6120687,6.441567278,5.530337725,229.9912153,0.4915,0.48898069,2.582279105,655.7329536,37.646,Secondary py nodules,Cambrian,Black shale nodules,Gregory et al. 2019
4,Sedimentary,52.3215334,309.6136886,326.3680517,23.80917185,552.954438,3.220697068,3.674870029,430.1680111,1.170203522,0.073555417,3.52362485,375.3240108,39.005,Secondary py nodules,Cambrian,Black shale nodules,Gregory et al. 2019
5,Sedimentary,187.8303448,387.908606,184.4484404,49.3922669,478.8128132,4.035802871,6.743060269,350.0500426,1.30244638,0.838243217,2.765944146,454.9558877,36.34,Secondary py nodules,Cambrian,Black shale nodules,Gregory et al. 2019
6,Sedimentary,243.5671095,241.6632633,179.0440198,0,547.1755253,3.862250232,7.181192083,418.6634168,1.650826011,4.12443548,4.012421025,275.01053,38.629,Secondary py nodules,Cambrian,Black shale nodules,Gregory et al. 2019
7,Sedimentary,449.4260635,241.0097292,405.8402853,102.6306728,498.4158362,3.627889204,6.379054518,364.3161004,0.46,0.095922144,4.389206424,187.3352268,36.331,Secondary py nodules,Cambrian,Black shale nodules,Gregory et al. 2019
8,Sedimentary,283.8572089,248.7795676,172.8361283,34.61711942,520.138848,3.39162112,4.969290527,363.356989,1.358905801,0.253704006,3.78765597,317.4683519,37.36,Secondary py nodules,Cambrian,Black shale nodules,Gregory et al. 2019
9,Sedimentary,262.2536902,260.9719853,193.1941052,112.8103629,404.0004357,2.664876066,4.112959802,327.5768676,1.087028688,0.045816717,3.110981251,227.4119532,35.332,Secondary py nodules,Cambrian,Black shale nodules,Gregory et al. 2019
10,High Temperature,9.232722186,19.68340462,0.148693423,1.298019966,1.592498686,,,0.005,,,,0.005,28.55475185,Skarn,Cambrian,Py(o),Ding et al. 2021
11,High Temperature,3.714396188,76.9227216,0.066324633,0.490846224,2.526589308,,,0.005,,,,0.016924532,28.69161667,Skarn,Cambrian,Py(o),Ding et al. 2021
12,High Temperature,9.322479781,267.9740349,0.321001319,1.401241702,2.776104096,,,0.005,,,,0.039891698,27.78253793,Skarn,Cambrian,Py(o),Ding et al. 2021
13,High Temperature,5.068498349,10.86491995,3.344765011,1.351336291,1.425205981,,,0.005,,,,0.104033659,28.44032136,Skarn,Cambrian,Py(o),Ding et al. 2021
14,High Temperature,4.440068564,22.95589724,0.143699004,1.155824964,1.343036349,,,0.005,,,,0.005,28.54169139,Skarn,Cambrian,Py(o),Ding et al. 2021
15,High Temperature,31.83393541,55.66058568,0.523587237,0.482061566,2.546596926,,,0.005,,,,0.005,28.79399468,Skarn,Cambrian,Py(o),Ding et al. 2021
16,High Temperature,2.66947481,52.52453719,0.026647777,0.663133032,2.320293772,,,0.005,,,,0.005,28.33752358,Skarn,Cambrian,Py(o),Ding et al. 2021
17,High Temperature,67.80008053,938.3959741,4.100681747,1.179789064,132.5933337,,,0.005,,,,0.05392906,25.96293322,Skarn,Cambrian,Py(o),Ding et al. 2021
18,High Temperature,18.65762623,130.4986655,0.41205458,0.312562338,45.53372633,,,0.013333278,,,,0.005,25.54640415,Skarn,Cambrian,Py(o),Ding et al. 2021
19,High Temperature,7.854346983,710.9457414,0.09716611,0.857901448,58.90778095,,,0.066648556,,,,0.005,25.24369645,Skarn,Cambrian,Py(o),Ding et al. 2021
20,High Temperature,15.44786046,116.4591655,0.390981288,0.780989222,52.43206316,,,0.03445376,,,,0.005,25.81504704,Skarn,Cambrian,Py(o),Ding et al. 2021
21,High Temperature,30.12007588,455.039821,0.230117451,0.901516156,76.22429664,,,0.005,,,,0.006199975,25.46323515,Skarn,Cambrian,Py(o),Ding et al. 2021
22,High Temperature,10.62116844,557.8388774,0.221729395,0.50934923,48.69827755,,,0.005,,,,0.549791623,24.93530062,Skarn,Cambrian,Py(o),Ding et al. 2021
